Date,SurveyDay
10/14/2020,1
10/15/2020,2
10/16/2020,3
10/17/2020,4
10/18/2020,5
10/19/2020,6
10/20/2020,7
10/21/2020,8
10/22/2020,9
10/23/2020,10
10/24/2020,11
10/25/2020,12
10/26/2020,13
10/27/2020,14
10/28/2020,15
10/29/2020,16
10/30/2020,17
10/31/2020,18
11/1/2020,19
11/2/2020,20
11/3/2020,21
11/4/2020,22
11/5/2020,23
11/6/2020,24
11/7/2020,25
11/8/2020,26
11/9/2020,27
11/10/2020,28
11/11/2020,29
11/12/2020,30
11/13/2020,31
11/14/2020,32
11/15/2020,33
11/16/2020,34
11/17/2020,35
11/18/2020,36
11/19/2020,37
11/20/2020,38
11/21/2020,39
11/22/2020,40
11/23/2020,41
11/24/2020,42
11/25/2020,43
11/26/2020,44
11/27/2020,45
11/28/2020,46
11/29/2020,47
11/30/2020,48
12/1/2020,49
12/2/2020,50
12/3/2020,51
12/4/2020,52
12/5/2020,53
12/6/2020,54
12/7/2020,55
12/8/2020,56
12/9/2020,57
12/10/2020,58
12/11/2020,59
12/12/2020,60
12/13/2020,61
12/14/2020,62
12/15/2020,63
12/16/2020,64
12/17/2020,65
12/18/2020,66
12/19/2020,67
12/20/2020,68
12/21/2020,69
12/22/2020,70
12/23/2020,71
12/24/2020,72
12/25/2020,73
12/26/2020,74
12/27/2020,75
12/28/2020,76
12/29/2020,77
12/30/2020,78
12/31/2020,79
1/1/2021,80
1/2/2021,81
1/3/2021,82
1/4/2021,83
1/5/2021,84
1/6/2021,85
1/7/2021,86
1/8/2021,87
1/9/2021,88
1/10/2021,89
1/11/2021,90
1/12/2021,91
1/13/2021,92
1/14/2021,93
1/15/2021,94
1/16/2021,95
1/17/2021,96
1/18/2021,97
1/19/2021,98
1/20/2021,99
1/21/2021,100
1/22/2021,101
1/23/2021,102
1/24/2021,103
1/25/2021,104
1/26/2021,105
1/27/2021,106
1/28/2021,107
1/29/2021,108
1/30/2021,109
1/31/2021,110
2/1/2021,111
2/2/2021,112
2/3/2021,113
2/4/2021,114
2/5/2021,115
2/6/2021,116
2/7/2021,117
2/8/2021,118
2/9/2021,119
2/10/2021,120
2/11/2021,121
2/12/2021,122
2/13/2021,123
2/14/2021,124
2/15/2021,125
2/16/2021,126
2/17/2021,127
2/18/2021,128
2/19/2021,129
2/20/2021,130
2/21/2021,131
2/22/2021,132
2/23/2021,133
2/24/2021,134
2/25/2021,135
2/26/2021,136
2/27/2021,137
2/28/2021,138
3/1/2021,139
3/2/2021,140
3/3/2021,141
3/4/2021,142
3/5/2021,143
3/6/2021,144
3/7/2021,145
3/8/2021,146
3/9/2021,147
3/10/2021,148
3/11/2021,149
3/12/2021,150
3/13/2021,151
3/14/2021,152
3/15/2021,153
3/16/2021,154
3/17/2021,155
3/18/2021,156
3/19/2021,157
3/20/2021,158
3/21/2021,159
3/22/2021,160
3/23/2021,161
3/24/2021,162
3/25/2021,163
3/26/2021,164
3/27/2021,165
3/28/2021,166
3/29/2021,167
3/30/2021,168
